code,target,interest,maturity,payment,status,id,income,age,scaleofcompany,education,marriage,workingtime,estate,houseloan,car,carloan,creditscore,application,pastsuccess,pastdefault,creditcertificate,creditreport,identitycertificate,jobcertificate,incomecertificate,estatecertificate,carcertificate,marriagecertificate,educertificate,techcertificate,mobilecertificate,weibocertificate
2343,20000 ,0.15 ,24,968 ,1,754407,--,36,--,highschool,married,--,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2344,20000 ,0.20 ,12,1852 ,1,721999,5000-10000,29,10-100,highschool,single,1-3 years,1,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2345,30000 ,0.20 ,12,2778 ,1,754419,2000-5000,23,less10,highschool,single,1-3 years,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2346,40000 ,0.17 ,24,1976 ,1,658830,5000-10000,26,above500,junior college,single,above 5 years,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2347,3000 ,0.10 ,3,1017 ,1,685887,2000-5000,41,above500,undergraduate,married,above 5 years,1,1,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2348,500000 ,0.15 ,12,45100 ,1,754424,--,26,--,--,--,--,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2349,50000 ,0.15 ,12,4510 ,1,754420,--,32,--,--,single,--,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2350,15000 ,0.15 ,12,1353 ,1,252540,2000-5000,26,10-100,junior college,single,1-3 years,0,0,0,0,20,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2351,30000 ,0.20 ,24,1524 ,1,626186,5000-10000,23,less10,junior college,single,1-3 years,1,0,0,0,20,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2352,10000 ,0.11 ,6,1720 ,0,754438,above 50000,27,--,undergraduate,single,3-5 years,0,0,0,0,80,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2353,500000 ,0.15 ,24,24200 ,1,754414,--,36,--,highschool,single,--,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2354,300000 ,0.18 ,12,27480 ,1,754425,5000-10000,28,10-100,junior college,single,below 1 year,1,1,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2355,60000 ,0.15 ,12,5412 ,1,754442,2000-5000,25,--,highschool,married,--,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2356,8000 ,0.10 ,3,2712 ,0,751755,5000-10000,25,--,junior college,single,1-3 years,0,0,0,0,90,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0
2357,15000 ,0.15 ,12,1353 ,1,72664,10000-20000,35,10-100,junior college,married,3-5 years,1,0,0,0,134,37,27,1,0,1,1,1,1,0,0,0,0,0,0,1
2358,10000 ,0.15 ,24,484 ,1,752228,2000-5000,39,10-100,highschool,married,1-3 years,1,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2359,100000 ,0.15 ,12,9020 ,1,754402,5000-10000,29,--,junior college,married,1-3 years,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2360,10000 ,0.18 ,24,500 ,1,754444,5000-10000,29,100-500,undergraduate,married,below 1 year,1,1,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2361,100000 ,0.15 ,24,4840 ,1,753769,5000-10000,23,10-100,junior college,single,below 1 year,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2362,200000 ,0.18 ,24,10000 ,1,520156,10000-20000,29,10-100,junior college,married,1-3 years,1,1,0,1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2363,100000 ,0.15 ,12,9020 ,1,754460,10000-20000,30,--,undergraduate,single,1-3 years,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
